,munid_cur,tier_cur_x,regionShort,munname_cur,"Population, 2021 (UT Roll Up)","Land area in acres, 2021 (UT Roll Up)",Farm Property Count,Farm Acres,2023 FAM
123,4203,LT,Southwest,Georgian Bluffs Tp,11100,148253.1158,779,73341.83881,0.4947
124,4208,LT,Southwest,Grey Highlands M,10424,217212.7082,1507,131342.1224,0.6047
125,4205,LT,Southwest,West Grey M,13131,216268.7671,1635,136928.439,0.6331
126,4600,UT,Central,Haliburton Co,20571,990757.6133,99,7889.518226,0.008
127,4624,LT,Central,Dysart et al M,7182,364287.1331,7,478.7996894,0.0013
128,4616,LT,Central,Minden Hills Tp,6971,209389.3639,81,6210.557399,0.0297
129,4601,LT,Central,Highlands East M,3830,170052.7189,10,1149.238132,0.0068
130,4621,LT,Central,Algonquin Highlands Tp,2588,247028.3975,1,50.92300526,0.0002
131,1200,UT,East,Hastings Co,41580,1284634.648,2107,200462.8325,0.156
132,1208,ST,East,Belleville C,55071,61072.00075,354,26977.26095,0.4417
133,1204,ST,East,Quinte West C,46560,122428.1722,841,56633.99913,0.4626
134,1202,LT,East,Deseronto T,1747,622.7046,3,198.7267597,0.3191
135,1262,LT,East,Bancroft T,4065,56226.2717,22,2590.178893,0.0461
136,1258,LT,East,Faraday Tp,1612,53730.5112,3,641.070744,0.0119
137,1251,LT,East,Limerick Tp,436,49677.9892,0,0,0
138,1236,LT,East,Madoc Tp,2233,67850.0909,278,26043.35342,0.3838
139,1248,LT,East,Tudor and Cashel Tp,740,107073.0675,3,282.6787828,0.0026
140,1201,LT,East,Tyendinaga Tp,4538,77200.5441,379,33179.22378,0.4298
141,1254,LT,East,Wollaston Tp,721,53342.55635,42,4326.589476,0.0811
142,1230,LT,East,Centre Hastings M,4801,55052.52295,263,24205.84698,0.4397
143,1220,LT,East,Stirling-Rawdon Tp,5015,69802.2204,499,44763.48912,0.6413
144,1231,LT,East,Tweed M,6067,226993.124,406,41637.28609,0.1834
145,1290,LT,East,Hastings Highlands M,4385,238846.7509,40,5148.591906,0.0216
146,1270,LT,East,Carlow-Mayo Tp,953,95214.4986,41,6191.39847,0.065
147,1241,LT,East,Marmora and Lake M,4267,133001.7952,128,11254.39807,0.0846
148,4000,UT,Southwest,Huron Co,61366,839729.5083,8178,726466.2596,0.8651
149,4028,LT,Southwest,Goderich T,7881,2110.2767,2,120.8693959,0.0573
150,4020,LT,Southwest,Bluewater M,7540,102968.6535,1016,86513.95509,0.8402
